,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar
24_0,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0
24_1,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1
26_0,CCC(CC)O,26,{},26reac0
26_1,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1
26_2,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2
33_0,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0
33_1,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1
34_0,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0
34_1,C(C[NH2:10])N,34,{10: 2},34reac1
35_0,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0
35_1,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1
36_0,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0
36_1,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1
37_0,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0
38_0,CC[NH:10]CC,38,{10: 2},38reac0
38_1,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1
39_0,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0
39_1,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1
40_0,C1CC[NH:10]C1,40,{10: 3},40reac0
40_1,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1
41_0,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}",41reac0
41_1,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1
42_0,CC(C)[NH:10]C(C)C,42,{10: 3},42reac0
42_1,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1
43_0,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0
43_1,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1
